book_name,book_author,book_description,book_genre,book_points
Consumer-Centric Category Management, ACNielsen (EN),"In some parts of the world, especially in developing markets, category management today remains a stretch goal a new idea full of untapped potential. In other areas, the original eight-step process that emerged in the late 1980 s forms the foundation of many companies approach to category management. In still others, particularly in developed countries like the U.S., the U.K., and others, refinements are being made most of them designed to place consumer understanding front and center. New ideas are emerging from &quotetrip management&quote to &quoteaisle management&quote to &quotecustomer management.&quote Whether a new descriptor emerges to replace &quotecategory management&quote is yet to be seen. Even if that does happen, what won t change is the overall objective to help retailers and their manufacturer partners succeed by offering the right selection of products that are marketed and merchandised based on a complete understanding of the consumers they are committed to serving. This book, which explores both the state of and the state-of-the-art in category management, is for everyone with a vested interest in category management. It can serve such a broad audience because category management is about bringing a structured process to how executives think and make decisions about their businesses, no matter what information and information technology they have access to.", Иностранная литература,0
Buying a Computer For Dummies, Gookin Dan (EN),"Realizing that purchasing a computer is a significant investment, beloved author Dan Gookin assists readers in finding a tailor-made computer that suits specific needs while also offering longevity Delivers all the know-how in an understandable, enjoyable, friendly style so readers don't feel overwhelmed by all the choices they'll face when buying a computer Walks readers step by step through all the new developments: CD burner/DVD combo drives, processor upgrades, flat panel displays, new modem and networking options, new peripherals, and more An essential reference for first-time computer buyers looking to make a wise purchase, and for anyone looking to get an additional computer", Иностранная литература,0
Window Treatments and Slipcovers For Dummies, Montano Mark (EN),"Gain inspiration from 8 pages of full-color photos Create a stunning room with dozens of step-by-step projects Want to ditch your drab drapes and so-so slipcovers and create a style that's uniquely your own? Top designer Mark Montano reveals how easy it is to jazz up your windows and furniture -- without breaking the bank! You get expert tips on everything from measuring and cutting material to accessorizing, as well as savvy shortcuts and quick fixes. Discover how to * Express your individual style * Choose fabrics, trims, and hardware * Ensure the perfect fit * Create no-sew or low-sew treatments * Add decorative details", Иностранная литература,0
How to Sell at Margins Higher Than Your Competitors, Brooks William T. (EN),"Praise for How to Sell at Margins Higher Than Your Competitor &quoteThis is the complete book for both new and experienced salespeople and business owners to learn and re-learn the essentials for success. How to Sell at Margins Higher Than Your Competitors emphasizes the pricing strategies and tactics to increase the market share and profits of any organization. This is a book that is as important to presidents as it is to salespeople.&quote --Bill Scales, CEO, Scales Industrial Technologies, Inc. &quoteAs the largest service provider in our industry, we have a significant market advantage. However, we constantly walk the pricing tightrope because, as this book so clearly states, 'business is a game of margins . . . not a game of volume!'&quote --John K. Harris, CEO, JK Harris & Company, LLC &quoteIf you live and die on price, this book could be your only lifeline.&quote --Tom Reilly, CSP, author of Value-Added Selling and Crush Price Objections &quoteHow to Sell at Margins Higher Than Your Competitors successfully illustrates profitable sales truths to assist us in selling for maximum return. This book's well-researched, logical, and affirming words validate the simple fact that as a premium company we deserve premium margins. So, while our competitors reduce or match prices out of fear and scarcity, our managers, thanks to this powerful sales tool, can continue quoting and closing with profitable confidence.&quote --Joe Bracket, President, Power Equipment Company &quoteI learned a long time ago that it is pretty difficult to control what my competitors will do, but we must control what we do--like maintaining margins. This book is a 'wow!' that will help my salesmen crack bad habits. Sales organizations should design their entire training programs around the content in this book.&quote --George C. Giessing, President, Brusco-Rich, Inc. &quoteThis energizing book is the 'right stuff' for every sales force. It should be a required study for every executive and sales professional who seeks to be successful.&quote --David R. Little, Chairman and CEO, DXP Enterprises, Inc.", Иностранная литература,0
Teach Yourself VISUALLY Guitar, Kim Charles (EN),"Do you learn faster by seeing and doing than by wading through tedious instructions? Then pick up a guitar and start strumming! Teach Yourself VISUALLY Guitar shows you the basics photo by photo and note by note. You begin with basic chords and techniques and progress through suspensions, bass runs, hammer-ons, and barre chords. As you learn to read chord charts, tablature, and lead sheets, you can play any number of songs, from rock to folk to country. The chord chart and scale appendices are ready references for use long after you master the basics. Concise two-page lessons show you all the steps to a skill and are ideal for quick review Each skill, chord, or technique is clearly described Detailed color photos demonstrate proper fingering and technique Concise and understandable instructions accompany each photo Helpful tips provide additional guidance", Иностранная литература,0
50 Shades of Key, Little Paul (EN),A humorous book of news photos showing New Zealand prime minister John Key with satirical speech bubble captions added. Topical satire touching on such subjects as Kim Dotcom and gambling., Иностранная литература,0
Nonprofit Strategic Positioning, McLaughlin Thomas A. (EN),"Nonprofit Strategic Positioning: Decide Where to Be, Plan What to Do is the first nonprofit-oriented book to describe strategic positioning as an alternative to traditional strategic planning. Even in the nonprofit sector, strategic planning is becoming discredited as a formulaic, go-nowhere exercise. This book will take the reader on a stimulating journey through nonprofit strategy development and implementation. The book is timely because the nonprofit sector has reached a turning point where the need to be more business-like is undeniable, and the continuing retreat of the public sector has left even wider gaps in services that nonprofits will be asked to fill. Nonprofit Strategic Positioning: Decide Where to Be, Plan What to Do offers a fresh new way for nonprofits to meet the challenges of the 21st century.", Иностранная литература,0
Gravity's Arc, Darling David (EN),"Advance Praise for Gravity's Arc&quoteA beautifully written exposition of the still mysterious force that holds our universe together--and the even more mysterious dark twin that may blow it apart.&quote--Joshua Gilder, coauthor of Heavenly Intrigue&quoteA lucid book as up-to-date as the effect of gravity on the bones of astronauts.&quote--Denis Brian, author of The Unexpected EinsteinHow did they do it?How did one of the greatest geniuses who ever lived retard the study of gravity for 2,000 years? How did a gluttonous tyrant with a gold nose revolutionize our view of the solar system? How could an eccentric professor shake the foundations of an entire belief system by dropping two objects from a tower? How did a falling apple turn the thoughts of a reclusive genius toward the moon? And how could a simple patent clerk change our entire view of the universe by imagining himself riding on a beam of light?In Gravity's Arc, you'll discover how some of the most colorful, eccentric, and brilliant people in history first locked, then unlocked the door to understanding one of nature's most essential forces. You'll find out why Aristotle's misguided conclusions about gravity became an unassailable part of Christian dogma, how Galileo slowed down time to determine how fast objects fall, and why Isaac Newton erased every mention of one man's name from his magnum opus Principia. You'll also figure out what Einstein meant when he insisted that space is curved, whether there is really such a thing as antigravity, and why some scientists think that the best way to get to outer space is by taking an elevator.", Иностранная литература,0
Kick Start Your Success, Wolter Romanus (EN),"&quoteIf you want to propel your success and dreams to realization, read Kick Start Your Success.&quote Mark Victor Hansen, cocreator, #1 New York Times bestselling series Chicken Soup for the Soul and coauthor of The One Minute Millionaire &quoteTimeless wisdom presented in an extremely readable manner.&quote Jay Conrad Levinson, author of the Guerrilla Marketing series of books &quoteA wonderful little book filled with simple, transformational wisdom that will reshape all aspects of your life and work. You owe it to yourself to read Kick Start Your Success.&quote Dr. Joe Rubino, bestselling author and CEO of CenterForPersonalReinvention.com &quoteI was lost. I knew I had an idea that would work but didn't know how to present it to the market. Kick Start Your Success allowed me to put my thoughts down in a concise way and discover an entertaining way to make them a reality.&quote Anne Patrick, television executive", Иностранная литература,0
Sarbanes-Oxley and Nonprofit Management, Jackson Peggy M. (EN),"Is your nonprofit organization ready for increased scrutiny, reporting requirements, regulations, and increased expectations from donors? This combination reference/workbook prepares you and shows you how Sarbanes-Oxley best practices can benefit your organization. It includes: A structured description of Sarbanes-Oxley and its implications for nonprofits Detailed discussions on governance, including financial literacy for board members, new standards of accountability for boards, and best practices for nonprofit management Sample documents, procedures, and frameworks to help you implement best practices Worksheets, forms, and resource materials in each chapter A &quotewalk-through&quote of typical financial statements and sample documents such as a Conflict of Interest policy, board orientation curriculum, a Whistleblower Protection policy, a Document Preservation policy, and a fundraising plan. Implementing proven best practices stemming from Sarbanes-Oxley can diminish organizational dysfunction, promote a solid infrastructure, and propel your organization to the platinum standard of operations and governance, giving your organization the competitive advantage in today's demanding nonprofit environment.", Иностранная литература,0
Security Controls for Sarbanes-Oxley Section 404 IT Compliance, Brewer Dennis C. (EN),"The Sarbanes-Oxley Act requires public companies to implement internal controls over financial reporting, operations, and assets-all of which depend heavily on installing or improving information security technology Offers an in-depth look at why a network must be set up with certain authentication computer science protocols (rules for computers to talk to one another) that guarantee security Addresses the critical concepts and skills necessary to design and create a system that integrates identity management, meta-directories, identity provisioning, authentication, and access control A companion book to Manager's Guide to the Sarbanes-Oxley Act (0-471-56975-5) and How to Comply with Sarbanes-Oxley Section 404 (0-471-65366-7)", Иностранная литература,0
Adorno's Positive Dialectic, Sherratt Yvonne (EN),"This book offers an interpretation of the work of Theodor Adorno. In contrast to the conventional view that Adorno's is in essence a critical philosophy, Yvonne Sherratt traces systematically a utopian thesis that pervades all the major aspects of Adorno's thought. She places Adorno's work in the context of German Idealist and later Marxist and Freudian traditions, and then analyses his key works to show how the aesthetic, epistemological, psychological, historical and sociological thought interconnect to form a utopian image. The book will be eagerly sought out by students and specialists in philosophy, social and political theory, intellectual history, literary theory and cultural studies.", Иностранная литература,0
Anxiety and Depression Workbook For Dummies, Smith Laura L. (EN),"From identifying your triggers to improving your relationships -- manage your emotional wellbeing Struggling to cope with anxiety and/or depression? Have no fear -- this hands-on guide focuses on helping you pinpoint the root of your problems and find relief from your symptoms in a detailed, step-by-step manner. With concise, eye-opening exercises, you'll understand how to assess your current situation, remove the roadblocks to change, face your fears, and improve your view of yourself and the world around you. You'll see how to take direct action to alter negative or distorted thinking, lift your moods, and adopt positive habits that will lead you toward a more joyful, meaningful, and connected life! Discover * How to improve the way you feel about yourself * Skills to face and overcome what makes you anxious or depressed * How to determine whether medication is an option for you * Practical ways to prepare for and deal with setbacks", Иностранная литература,0
Wiley Practitioner's Guide to GAAS 2006, Ramos Michael J. (EN),"The clearest, easiest-to-use guide to understanding GAAS 2006 on the market-fully updated! This latest resource to understanding GAAS addresses the toughest part of an accountant's job-identifying, interpreting, and applying the many audit, attest, review, and compilation standards relevant to a particular engagement. Wiley Practitioner's Guide to GAAS 2006 offers the accounting professional a clear, accessible distillation of the official language of those standards, Statements on Standards for Attestation Engagements (SSAEs), and Statements on Standards for Accounting and Review Services (SSARSs)-as well as advice on exactly when and how to remain fully compliant with each. The only GAAS reference organized according to practitioners' actual use of the Statements on Auditing Standards, Wiley Practitioner's Guide to GAAS 2006 presents each statement individually, explaining how the standards are related and offering guidance on the entire engagement process in the form of practice notes, checklists, questionnaires, and real-world examples that illustrate how the fundamental requirements of each section are applied. Other key features include: A brief identification of each SAS, SSAE, and SSARS, with its effective date and tips on when to apply it A convenient and comprehensive glossary of official definitions, which are usually scattered through-out a standard Behind-the-scenes explanations of the reasons for each pronouncement and brief explanations of the basic ideas of the section Concise listing and descriptions of each standard's specific mandates Easy-to-read capsule summary of interpretations, plus selected AICPA practice alerts and advisories Helpful techniques for remaining compliant with each standard New in GAAS 2006! Proposed changes required by the new risk assessment suite of eight auditing standards, including those related to: Understanding the client's business Internal control Materiality Assessing risk and performing audit procedures Changes to the requirements for audit documentation when performing an audit of a privately held company", Иностранная литература,0
15 Secrets Every Network Marketer Must Know, Rubino Joe (EN),"Each year in North America, more than 13 million people participate in network marketing, selling tens of billions of dollars of goods and services. The top moneymakers in the business take home six or seven figures. Wouldn't you love to know how they do it? With 15 Secrets Every Network Marketer Must Know, you will! Written by top expert marketers Dr. Joe Rubino and John Terhune, this practical, one-of-a-kind guide explains fifteen key network marketing principles--the core secrets to unlimited success. The principles, strategies, and tactics presented in this book will help you maximize your personal effectiveness, attitude, and behavior as you build your dynasty on a solid foundation that will ensure it will last long into the future. Based on proven, time-tested strategies and the long experience of two well-known and extremely well-qualified authors, this book is an indispensable tool for every network marketer, even those just starting out. 15 Secrets Every Network Marketer Must Know will put you on the path to real wealth with step-by-step guidance on: * Getting yourself into a successful frame of mind * Using failure as an advantage * Mastering self-discipline and resisting the urge to quit * Developing long-term goals that drive your daily activities * Building and finessing a great, moneymaking list * Developing great leaders and associates * Following up effectively * And much more", Иностранная литература,0
Shake That Brain, Saltzman Joel (EN),"Joel Saltzman teaches readers how to create &quotesurprising, yet inevitable&quote solutions, no matter the challenge or task at hand. Easily. Consistently. And economically. Shake That Brain! is a collection of creative and inspiring tips and tools for finding solutions in a variety of areas-from sales, marketing, and product creation to ethics, innovation, and the bottom line. Backed by powerful and compelling examples from a wide variety of real-life applications, Joel Saltzman delivers energy, edge-and lots of fun-as he guides readers through a series of proven formulas for creating outstanding solutions, from harnessing the power of opposite thinking to turning your worst ideas into your best ideas ever. Filled with exercises, easy-to-apply formulas, entertaining pop-quizzes, and eye-opening teaching examples from the world of business, technology, advertising, and more, here's a solution-finding guidebook that can be used for succeeding on the job or at home. Joel Saltzman is a professional speaker, consultant, and bestselling author. He has conducted Shake That Brain! programs for Grey Advertising International, Harley Davidson, the U.S. Department of the Treasury, and Warner Bros. Studios. His work has been called &quotewitty and rewarding&quote by People Magazine and he's the recipient of a national Audie award for &quoteBest Educational and Training Audio.&quote His website is www.shakethatbrain.com", Иностранная литература,0
Nonlinear Programming, Bazaraa Mokhtar S. (EN),"COMPREHENSIVE COVERAGE OF NONLINEAR PROGRAMMING THEORY AND ALGORITHMS, THOROUGHLY REVISED AND EXPANDED Nonlinear Programming: Theory and Algorithms now in an extensively updated Third Edition addresses the problem of optimizing an objective function in the presence of equality and inequality constraints. Many realistic problems cannot be adequately represented as a linear program owing to the nature of the nonlinearity of the objective function and/or the nonlinearity of any constraints. The Third Edition begins with a general introduction to nonlinear programming with illustrative examples and guidelines for model construction. Concentration on the three major parts of nonlinear programming is provided: Convex analysis with discussion of topological properties of convex sets, separation and support of convex sets, polyhedral sets, extreme points and extreme directions of polyhedral sets, and linear programming Optimality conditions and duality with coverage of the nature, interpretation, and value of the classical Fritz John (FJ) and the Karush-Kuhn-Tucker (KKT) optimality conditions; the interrelationships between various proposed constraint qualifications; and Lagrangian duality and saddle point optimality conditions Algorithms and their convergence, with a presentation of algorithms for solving both unconstrained and constrained nonlinear programming problems Important features of the Third Edition include: New topics such as second interior point methods, nonconvex optimization, nondifferentiable optimization, and more Updated discussion and new applications in each chapter Detailed numerical examples and graphical illustrations Essential coverage of modeling and formulating nonlinear programs Simple numerical problems Advanced theoretical exercises The book is a solid reference for professionals as well as a useful text for students in the fields of operations research, management science, industrial engineering, applied mathematics, and also in engineering disciplines that deal with analytical optimization techniques. The logical and self-contained format uniquely covers nonlinear programming techniques with a great depth of information and an abundance of valuable examples and illustrations that showcase the most current advances in nonlinear problems.", Иностранная литература,0
Life's Missing Instruction Manual, Vitale Joe (EN),"Bestselling author and marketing guru Joe Vitale offers insights and life lessons for achieving success In the simple, straightforward tone of an instructional manual, this little book offers big wisdom and little-known secrets for living a better life. Packed with life lessons most people will wish they'd learned earlier, Life's Missing Instruction Manual uses humor and anecdote to present practical steps readers can use to take control of their lives, overcome any obstacle, and find fulfillment. Each simple lesson is explained and brought into focus with real-life examples and includes practical steps on putting those lessons to work every day. Full of uncommon wisdom and lighthearted humor, this book will help readers develop confidence, create a plan for success, get ahead at work, build rapport with others, develop time-management skills, and find wealth and happiness. Readers will learn how to live life to the fullest when they discover how to: * Take chances that lead to success * Get through the tough times * Be themselves and like it * Find their purpose * Work as a team * Create their own blueprint for success * Believe in themselves * Lead a good and moral life * Accept their mistakes and move on * Define success for themselves Joe Vitale (Wimberley, TX) is President of Hypnotic Marketing, Inc., and author of The Attractor Factor (0-471-70604-3) and The E-Code (0-471-71855-6). He has been called &quotethe Buddha of the Internet&quote for his combination of spirituality and marketing acumen. His professional clients include the Red Cross, PBS, Hermann Children's Hospital, and many other small and large international businesses.", Иностранная литература,0
Handbook of Plastic Processes, Harper Charles A. (EN),"An outstanding and thorough presentation of the complete field of plastics processing Handbook of Plastic Processes is the only comprehensive reference covering not just one, but all major processes used to produce plastic products-helping designers and manufacturers in selecting the best process for a given product while enabling users to better understand the performance characteristics of each process. The authors, all experts in their fields, explain in clear, concise, and practical terms the advantages, uses, and limitations of each process, as well as the most modern and up-to-date technologies available in their application. Coverage includes chapters on: Injection molding Compression and transfer molding Sheet extrusion Blow molding Calendering Foam processing Reinforced plastics processing Liquid resin processing Rotational molding Thermoforming Reaction injection molding Compounding, mixing, and blending Machining and mechanical fabrication Assembly, finishing, and decorating Each chapter details a particular process, its variations, the equipment used, the range of materials utilized in the process, and its advantages and limitations. Because of its increasing impact on the industry, the editor has also added a chapter on nanotechnology in plastics processing.", Иностранная литература,0
Money For Content and Your Clicks For Free, Frazer J. D. (EN),"Want to make money from your creativity? Here's how If you're a blogger or podcaster, an artist or musician, or someone who creates any other type of online content and dream of earning income from your creative efforts, you have endless options on the Internet. But to seize them, you must become part businessperson--a creative entrepreneur. If that thought intimidates you, you're not alone. JD Frazer has been there, and he shares with you everything you must know about syndication, advertising, branding, merchandising, copyright protection, ethical considerations, how to attract consumers, and more. If you want to earn a living from what you create, here's what you need to do: * Make wise decisions that protect your intellectual property and your interests * Approach the subject of paying for content without alienating your audience * Understand the realities of self-syndication * Weigh the advantages and disadvantages of membership features on your Web site * Learn how branding and merchandising apply to your art * Be prepared for fame as well as anonymity, and the hazards of both * Recognize the ethical balance that exists between creator and consumer * Explore online resources that assist the creative entrepreneur Visit our Web site at www.wiley.com/compbooks", Иностранная литература,0
Webster's New World Punctuation, Woods Geraldine (EN),"Unsure about proper punctuation?When in doubt, look it up!THE PRACTICAL, ACCESSIBLE GUIDE TO CORRECT PUNCTUATIONWhether you're writing a business report or a book report, creating an article for a newsletter, writing a note to your child's teacher, a personal letter, or a cover letter, using proper punctuation helps you make your points clearly and make a good impression. This user-friendly reference helps you quickly find the commonly accepted rule for any given situation, and even explains when to make exceptions to the rules.Webster's New World Punctuation: Simplified and Applied is packed with information and features, including:* An overview of the importance of good punctuation* Clear, concise explanations of difficult rules* Easy-to-understand examples that make applying the rules a snap* Cautions that alert you to common pitfalls* An overview of punctuation in common writing formats, ranging from business letters to e-mails to desktop publishing* Guidelines for citations in more formal writing", Иностранная литература,0
Leading with Safety, Krause Thomas R. (EN),"Building on years of research and experience in the field, Leading with Safety redefines organizational safety as an activity that both leads other performance areas and in turn must be led. Thomas Krause poses the question, &quoteWhat does it take to be a great safety leader?&quote and answers with a comprehensive new model for understanding safety leadership as it affects organizational culture and safety climate. Leading with Safety defines the practices, tools, and systems essential to creating an injury-free workplace, including the role of employees at each level, special considerations for coaching the senior executive leader, and the two crucial aspects of human performance that every leader needs to know. Ending with inspiring real-world examples or organizations that have put these tools into practice, Leading with Safety is written for any leader who wants to lead with safety toward a more robust, productive and effective organization.", Иностранная литература,0
Audit Planning, Pickett K. H. Spencer (EN),"More now than ever before, auditing is in the spotlight; legislators, regulators, and top executives in all types of businesses realize the importance of auditors in the governance and performance equation. Previously routine and formulaic, internal auditing is now high-profile and high-pressure! Being an auditor in today's complex, highly regulated business environment involves more than crunching the numbers and balancing the books-it requires ensuring that appropriate checks and balances are in place to manage risk throughout the organization. Designed to help auditors in any type of business develop the essential understanding, capabilities, and tools needed to prepare credible, defensible audit plans, Audit Planning: A Risk-Based Approach helps auditors plan the audit process so that it makes a dynamic contribution to better governance, robust risk management, and more reliable controls. Invaluable to internal auditors facing new demands in the workplace, this book is also a &quotehands-on&quote reference for external auditors, compliance teams, financial controllers, consultants, executives, small business owners, and others charged with reviewing and validating corporate governance, risk management, and controls. The second book in the new Practical Auditor Series, which helps auditors get down to business, Audit Planning: A Risk-Based Approach gives new auditors principles and methodologies they can apply effectively and helps experienced auditors enhance their skills for success in the rapidly changing business world.", Иностранная литература,0
Applied MANOVA and Discriminant Analysis, Huberty Carl J. (EN),"A complete introduction to discriminant analysis--extensively revised, expanded, and updated This Second Edition of the classic book, Applied Discriminant Analysis, reflects and references current usage with its new title, Applied MANOVA and Discriminant Analysis. Thoroughly updated and revised, this book continues to be essential for any researcher or student needing to learn to speak, read, and write about discriminant analysis as well as develop a philosophy of empirical research and data analysis. Its thorough introduction to the application of discriminant analysis is unparalleled. Offering the most up-to-date computer applications, references, terms, and real-life research examples, the Second Edition also includes new discussions of MANOVA, descriptive discriminant analysis, and predictive discriminant analysis. Newer SAS macros are included, and graphical software with data sets and programs are provided on the book's related Web site. The book features: Detailed discussions of multivariate analysis of variance and covariance An increased number of chapter exercises along with selected answers Analyses of data obtained via a repeated measures design A new chapter on analyses related to predictive discriminant analysis Basic SPSS(r) and SAS(r) computer syntax and output integrated throughout the book Applied MANOVA and Discriminant Analysis enables the reader to become aware of various types of research questions using MANOVA and discriminant analysis; to learn the meaning of this field's concepts and terms; and to be able to design a study that uses discriminant analysis through topics such as one-factor MANOVA/DDA, assessing and describing MANOVA effects, and deleting and ordering variables.", Иностранная литература,0
Macromedia Flash 8 For Dummies, Leete Gurdy (EN),"Make the Web interactive with your own animations Liven up your Web site with graphics that move, buttons that light up, and more Flash is fun - and this book makes it easy whether you're using a Mac(r) or Windows(r). Fill letters with images, create buttons that glow or change color when you pass your mouse over them, play video and sound files, morph objects into different ones, and do dozens of other things to make your site flashier. Discover how to * Create animated text * Find sample Flash files * Explore links to additional information * Add sound and video * Build great user interfaces * Publish your Flash files", Иностранная литература,0
Mastering Web Development with Microsoft Visual Studio 2005, Mueller John Paul (EN),"Be Right at Home in the World's Most Powerful Web Development Environment For large-scale web application development, Visual Studio 2005 is the most capable product around. This book shows team members and leaders how to use its power in several key dimensions. You'll master dozens of built-in features for creating a large, high-performance website based on ASP.NET 2.0. You'll work seamlessly with dynamic data, both reading from and writing to databases. And throughout, you'll learn how Visual Studio 2005 supports a more efficient group process in terms of design, development, and deployment. And everything is brought together with the enterprise-scale example, &quoteABC Incorporated,&quote that runs throughout the book. This is a book no web developer, and no web-dependent organization, should be without. Coverage Includes Reaping the benefits of master pages and themes Generating site maps and other navigational aids automatically Building a shopping cart application for your website Adding search functionality to your website Creating a flexible user environment using Webpart technology Increasing application performance using client-side and server-side scripting technologies Giving users the ability to change the website's theme to meet specific needs Using components and controls to add special effects and user customization Improving team efficiency using modern development and design techniques Monitoring and responding to usage statistics Combining technologies to get the best possible results from large applications Making your site accessible to everyone Master Standards-Based Web Development Techniques New to Visual Studio 2005 Discover How Visual Studio 2005 Solves Team Development Issues, Such as Source Code Control and Application Design Simplify Database Application Development without Compromising Security or Reliability", Иностранная литература,0
CliffsTestPrep FCAT Grade 10 Reading and Math, Ortiz Enrique (EN),"Your guide to a higher score on the Florida Comprehensive Assessment Test?Why CliffsTestPrep Guides?Go with the name you know and trustGet the information you need--fast!Written by test prep specialistsAbout the contents:This book is two study guides in one. With a detailed description of the exam plus 5 practice reading tests and 5 practice math tests, it's the practical way to prepare for the Florida Comprehensive Assessment Test, which you must pass as a requirement for graduation.The Reading Test* Overview with the types of questions and how to answer them* Test-taking strategies* 5 practice reading tests with answers and explanationsThe Math Test* Overview with the types of questions and how to answer them* Test-taking strategies* 5 practice math tests with answers and explanationsTest Prep Essentials from the Experts at CliffsNotes?More than Notes!CliffsAP? CliffsComplete? CliffsQuickReview? CliffsTestPrep? CliffsStudySolver", Иностранная литература,0
History of the Theory of Investments, Rubinstein Mark (EN),"&quoteThis exceptional book provides valuable insights into the evolution of financial economics from the perspective of a major player.&quote -- Robert Litzenberger, Hopkinson Professor Emeritus of Investment Banking, Univ. of Pennsylvania; and retired partner, Goldman Sachs A History of the Theory of Investments is about ideas -- where they come from, how they evolve, and why they are instrumental in preparing the future for new ideas. Author Mark Rubinstein writes history by rewriting history. In unearthing long-forgotten books and journals, he corrects past oversights to assign credit where credit is due and assembles a remarkable history that is unquestionable in its accuracy and unprecedented in its power. Exploring key turning points in the development of investment theory, through the critical prism of award-winning investment theory and asset pricing expert Mark Rubinstein, this groundbreaking resource follows the chronological development of investment theory over centuries, exploring the inner workings of great theoretical breakthroughs while pointing out contributions made by often unsung contributors to some of investment's most influential ideas and models.", Иностранная литература,0
Putt's Law and the Successful Technocrat, Putt Archibald (EN),"&quoteTechnology is dominated by two types of people: those who understand what they do not manage, and those who manage what they do not understand.&quote Putt's Law Early Praise for Putt's Law and the Successful Technocrat: &quoteThis is management writing the way it ought to be. Think Dilbert, but with a very big brain. Read it and weep. Or laugh, depending on your current job situation.&quote Spectral Lines, IEEE Spectrum, April 2006 &quoteIt's a classic. It reads at first like humor, but one eventually realizes that it's all true. The first edition changed my life. I loaned my copy to a subordinate at IBM, and he didn't return it to me until he was my boss.&quote Dave Thompson, PhD, IBM Fellow (retired), Member National Academy of Engineering, and IEEE Fellow &quotePutt's humor ranges from sharp to whimsical and is always on target. Readers will be reminded of many personal experiences and of lessons in life they wish they had learned earlier in their careers.&quote Eric Herz, former IEEE executive director and general manager &quoteAnyone who thinks 'engineering management' is an oxymoron needs to read this terrific book then they will know.&quote Norman R. Augustine, author of Augustine's Laws and retired Chairman & CEO of Lockheed Martin Corporation Putt's Law is as true today as it was when techno-everyman Archibald Putt first stated it. Now, in Putt's Law and the Successful Technocrat: How to Win in the Information Age, Putt is back with the unvarnished truth about success in the modern, technology-driven organization. As you learn the real rules of the technology world, you'll meet such characters as the successful technocrat, Dr. I. M. Sharp. You'll find out how he wrangles career victories from corporate failures, nearly bankrupting the firm with his projects while somehow emerging the hero. You'll also meet such unfortunates as Roger Proofsworthy, top-level perfectionist yet low in the hierarchy, and come to understand how he assiduously preserves his spot near the bottom of the totem pole. Whether you work in business, IT, or are a freelance technocrat, you'll want to study Putt's hard-won wisdom and laugh all the way to the bank!", Иностранная литература,0
Confined Space Entry and Emergency Response, Veasey D. Alan (EN),"EVERY SECOND COUNTS WHEN YOU'RE RESPONDING TO AN EMERGENCY INVOLVINGCONFINED SPACE-HERE'S THE DEFINITIVE GUIDE TO PERFORMING FLAWLESS RESCUES! Confined Space Entry and Emergency Response utilizes a realistic, scenario-based approach to teach you-and your staff-the right way to respond to an incident involving a confined space. The authors provide intensive, step-by-step guidance through the challenging maze of training regulations, equipment needs, and procedures to keep your response team finely tuned and ready to go under any conditions. You'll find expert, detailed coverage of complex-and often confusing-topics such as: * The basic components of rescue * OSHA's regulations for confined space entry and rescue * Confined space entry permitting * Assessing confined space hazards * Hazardous atmospheres and how to protect entrants from them * Air monitoring in confined spaces * Selection and use of personal protective equipment * The use of ropes and rigging The CD-ROM includes the Instructor's Guide along with lesson plans and useful practice tools such as worksheets, exercise handouts, performance checklists, diagrams and equipment lists for field exercises, instructions for building field training simulators, and guidelines for identifying rescue trainers and evaluating their competency as well as that of outside rescue teams. Everything you need to effectively train those working in a confined space can truly be found within these pages and on the CD-ROM.", Иностранная литература,0
Frank McKinney's Maverick Approach to Real Estate Success, McKinney Frank E. (EN),"Praise for Frank McKinney &quoteMy neighbor, Frank McKinney, is certainly a maverick and a spiritually grounded young man. The oceanfront homes he builds here in Florida are magnificent and unique. More important, Frank's life and the contributions he makes to his community and the world illustrate how a successful businessman can do well while doing good. The principles in Frank McKinney's Maverick Approach to Real Estate Success represent a road map of his achievements--a proven strategy for succeeding not just in real estate, but also in the business of life.&quote --Rich DeVos, cofounder of Amway, owner of the Orlando Magic &quoteIf you're ready to make big profits in real estate, then read, absorb, and use the brilliance of Frank McKinney.&quote --Mark Victor Hansen, coauthor of The One Minute Millionaire &quoteFrank McKinney's book is an excellent how-to guide to earning real estate profits by using McKinney's maverick formulas to find undervalued real estate with profit potential. McKinney is different. This isn't another how-to-get-rich-in-real-estate book. Instead, it is the lively success story of a real estate maverick. McKinney reveals his simple strategies, with intriguing personal profit examples that explain how his repeatable techniques work over and over.&quote --Robert J. Bruss, syndicated real estate columnist &quoteIf Hollywood were casting the role of a maverick who started with very little and went from a $50,000 fixer-upper to a $100 million mansion, they would choose Frank McKinney. Frank McKinney's Maverick Approach to Real Estate Success represents his approach to life. He decided to apply that approach to real estate and look what happened!&quote --Kendra Todd, winner of The Apprentice", Иностранная литература,0
